DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_UNLOADED; game type NONE (11)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.43.03-r1-0-g9889379 on Windows; cwd md5: 0e4cdc9558; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-11T13:22:11-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-11T13:22:11-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-11T13:24:55-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-11T13:24:55-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-13T13:32:37-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-13T13:32:37-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-13T14:49:15-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-13T14:49:15-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-13T16:04:16-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-13T16:04:16-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-13T16:19:37-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-13T16:19:37-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-14T15:49:28-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-14T15:49:28-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-14T18:15:29-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-14T18:15:29-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-08-15T13:53:41-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-08-15T13:53:42-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-08-15T14:33:27-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-08-15T14:33:27-0500] DFHack 0.43.03-r1-0-g9889379 on OS X; cwd md5: 1561d3a3b0; save: region5; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
